Year,Output pcs /month,Total Man hrs / month,Total no of workers,Number of Days per week,Actual Pc rate Amount,Total Labour Charges per Month,Total Salary per month,kk Support workers,Electricity,water,rent,Transport,Tax,Social,Fixed Cost per pc,rate per pc,Total Cost,Only Wages Per Hr,Output pcs per worker,Total Expensess per hour,Total Cost of  running Maesot factory,Cost per worker,Cost per worker per day
2022,824918,205305,75.55,271,3674868,4905693,527218,0,328419,305053,480000,231088,620000,0,3.17,6.13,9.29,23.84,40,36.1,739747,9745.6,360
2023,1671295,370707,111.8,323,6094349,7713070,1088889,1352000,603652,405955,996000,372884,404652,0,3.25,4.74,8,21.07,47,35.3,1078092,9695.7,361.9
2024,1079862,301784,108.4,293,3998564,6399882,1208264,648960,585110,427977,1080000,152757,193767,63507,4.15,6.01,10.17,21.32,34,36,896685,8241,337.3
2025,491755,145918,107.5,134,2078466,3307461,553223,297440,292429,157403,495000,177385,84689,21757,4.26,6.82,11.08,22.84,35,37.1,897798,8368,375.6
